id,name,category,price,originalPrice,discount,image,rating,reviews,brand,stock,description
23,Apple AirPods Pro Max,Headphones,549,649,15,https://images.unsplash.com/photo-1618366712277-70ac3700078b?w=400,4.7,2987,Apple,38,Premium sound quality
24,Samsung Galaxy Buds2 Pro,Headphones,229,279,18,https://images.unsplash.com/photo-1505740420928-5c5597c6d9a0?w=400,4.6,2145,Samsung,72,Great wireless buds
25,Sennheiser Momentum 4,Headphones,399,479,17,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=400,4.7,1876,Sennheiser,45,Long battery life
26,JBL Tune 750,Headphones,179,229,22,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,4.5,1654,JBL,81,Budget over-ear headphones
27,Beats Studio Pro,Headphones,399,479,17,https://images.unsplash.com/photo-1487180144351-b8472da7d491?w=400,4.6,1432,Beats,52,Stylish and sound-focused
28,Anker Soundcore Space A40,Headphones,99,129,23,https://images.unsplash.com/photo-1618366712277-70ac3700078b?w=400,4.4,987,Anker,94,Affordable noise canceling
29,Bang Olufsen Beoplay HX,Headphones,499,599,17,https://images.unsplash.com/photo-1505740420928-5c5597c6d9a0?w=400,4.7,876,Bang Olufsen,28,Luxury sound experience
30,Technics EAH-AZ80,Headphones,299,359,17,https://images.unsplash.com/photo-1649517919645-b2a41f75c556?w=400,4.6,743,Technics,35,Studio-quality buds
31,iPad Pro 12.9 M2,Tablets,1199,1399,14,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.8,2987,Apple,41,Powerful tablet
32,Samsung Galaxy Tab S9 Ultra,Tablets,999,1199,17,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.7,2145,Samsung,48,Premium Android tablet
33,iPad Air,Tablets,799,899,11,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.6,1876,Apple,55,Balanced iPad option
34,Microsoft Surface Go 4,Tablets,599,749,20,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.5,1234,Microsoft,52,Convertible tablet-laptop
35,Lenovo Tab M11 Pro,Tablets,499,599,17,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.4,987,Lenovo,63,Budget tablet
36,OnePlus Pad,Tablets,649,799,19,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.5,876,OnePlus,38,Value for money tablet
37,Xiaomi Pad 6 Pro,Tablets,499,699,29,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.5,743,Xiaomi,71,Great specs for price
38,Samsung Galaxy Tab A7,Tablets,229,299,23,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.3,654,Samsung,89,Entry-level tablet
39,Apple iPad 10th Gen,Tablets,329,429,23,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.4,1432,Apple,76,Latest budget iPad
40,Huawei MatePad Pro,Tablets,899,1099,18,https://images.unsplash.com/photo-1526551281394-cb0bbc77bfce?w=400,4.6,654,Huawei,32,High-end productivity tablet
41,Canon EOS R6,Cameras,2499,2999,17,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.8,1876,Canon,28,Full-frame mirrorless camera
42,Sony A7R V,Cameras,3998,4499,11,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.9,987,Sony,18,Ultra-high resolution sensor
43,Nikon Z9,Cameras,5499,6299,13,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.8,743,Nikon,15,Professional flagship
44,DJI Air 3S,Cameras,999,1199,17,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.7,2145,DJI,45,Advanced drone camera
45,GoPro Hero 11,Cameras,499,599,17,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.6,1654,GoPro,67,Action camera
46,Fujifilm X-T5,Cameras,1699,1999,15,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.7,876,Fujifilm,34,Film simulation camera
47,Leica M11,Cameras,8299,9499,13,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.9,321,Leica,8,Luxury rangefinder
48,Panasonic Lumix S5II,Cameras,1999,2399,17,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.6,543,Panasonic,26,Lightweight full-frame
49,Olympus OM-1,Cameras,4199,4999,16,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.7,432,Olympus,17,Rugged camera body
50,Ricoh GR III,Cameras,799,999,20,https://images.unsplash.com/photo-1606933248051-5ce98a15fef0?w=400,4.5,876,Ricoh,48,Compact prime camera
51,LG OLED55C3,Smart TVs,1499,1999,25,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.8,2987,LG,32,4K OLED TV
52,Samsung QN65S90C,Smart TVs,2499,3299,24,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.7,1876,Samsung,19,Quantum Dot display
53,Sony K-75XR80,Smart TVs,1999,2499,20,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.8,1654,Sony,26,Excellent color accuracy
54,TCL 65P745,Smart TVs,749,999,25,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.5,1432,TCL,58,Budget 4K TV
55,Hisense U8H,Smart TVs,999,1299,23,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.6,987,Hisense,45,Mini-LED backlight
56,Vizio M-Series,Smart TVs,599,799,25,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.4,876,Vizio,62,Good value LED TV
57,Philips 55OLED937,Smart TVs,1799,2299,22,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.7,654,Philips,21,European luxury OLED
58,Panasonic 55MZ2000,Smart TVs,1599,1999,20,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.6,543,Panasonic,18,Japanese engineering
59,BenQ SW240,Smart TVs,499,699,29,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.5,432,BenQ,47,Monitor TV combo
60,Insignia 55F30,Smart TVs,299,399,25,https://images.unsplash.com/photo-1461151304267-38535e770e79?w=400,4.2,321,Insignia,74,Budget Fire TV
61,Apple Watch Ultra 2,Smartwatch,799,999,20,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.8,2876,Apple,54,Rugged smartwatch
62,Samsung Galaxy Watch 6 Classic,Smartwatch,399,499,20,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.7,2145,Samsung,67,Rotating bezel
63,Garmin Epix Gen 2,Smartwatch,699,899,22,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.8,1234,Garmin,38,AMOLED GPS watch
64,Fitbit Sense 2,Smartwatch,299,399,25,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.5,987,Fitbit,72,Health tracking
65,Xiaomi Watch S1 Pro,Smartwatch,199,299,33,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.4,876,Xiaomi,91,Value option
66,Google Pixel Watch 2,Smartwatch,399,499,20,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.6,1654,Google,45,WearOS experience
67,OnePlus Watch 2,Smartwatch,249,349,29,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.5,765,OnePlus,58,Fast charging watch
68,Huawei Watch GT 4,Smartwatch,249,349,29,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.5,654,Huawei,64,Long battery life
69,Fossil Gen 6,Smartwatch,299,399,25,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.4,543,Fossil,49,Classic style
70,Withings ScanWatch,Smartwatch,299,399,25,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,4.6,432,Withings,38,ECG tracker
71,Belkin MagSafe Car Mount,Accessories,39,49,20,https://images.unsplash.com/photo-1587829741301-dc798b83dadc?w=400,4.7,3456,Belkin,187,Phone holder
72,Anker 313 Charger,Accessories,19,29,34,https://images.unsplash.com/photo-1619429464245-48443ad3e107?w=400,4.8,5432,Anker,312,Fast charger
73,Spigen iPhone Case,Accessories,15,25,40,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,4.6,8765,Spigen,456,Protection case
74,dbramante1928 Leather Case,Accessories,89,129,31,https://images.unsplash.com/photo-1567690187548-f07b1d7bf5a9?w=400,4.7,1234,dbramante,67,Premium leather
75,Mophie PowerStation XXL,Accessories,149,199,25,https://images.unsplash.com/photo-1619131651477-80be40669f9e?w=400,4.5,2145,Mophie,89,Power bank
76,Native Union Drop Charger,Accessories,79,99,20,https://images.unsplash.com/photo-1589110281630-eb416cc1007e?w=400,4.6,1876,Native Union,76,Wireless charger
77,Nomad Leather Wallet,Accessories,59,79,25,https://images.unsplash.com/photo-1595225380271-88194464627d?w=400,4.7,987,Nomad,104,RFID blocking
78,Caldigit Thunderbolt Hub,Accessories,349,449,22,https://images.unsplash.com/photo-1619131651477-80be40669f9e?w=400,4.8,543,Caldigit,42,6-port dock
79,CableCreation USB-C Hub,Accessories,49,69,29,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400,4.5,2134,CableCreation,156,Multi-port
80,Peak Design Capture Clip,Accessories,49,69,29,https://images.unsplash.com/photo-1629429464245-48443ad3e107?w=400,4.6,876,Peak Design,112,Camera clip
81,Sony PS5 Console,Gaming,499,599,17,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=400,4.9,4321,Sony,47,Next-gen console
82,Xbox Series X,Gaming,499,599,17,https://images.unsplash.com/photo-1621259182978-f09e5e2ca1ff?w=400,4.8,3456,Microsoft,52,Most powerful console
83,Nintendo Switch OLED,Gaming,349,449,22,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=400,4.7,2876,Nintendo,89,Hybrid console
84,Logitech G Pro X Superlight 2,Gaming,159,199,20,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?w=400,4.8,2145,Logitech,78,Pro gaming mouse
85,Razer BlackWidow V4,Gaming,229,299,23,https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?w=400,4.7,1876,Razer,65,Mechanical keyboard
86,SteelSeries Apex Pro,Gaming,189,249,24,https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?w=400,4.6,1654,SteelSeries,71,Adjustable switches
87,Corsair Dominator RAM,Gaming,249,329,24,https://images.unsplash.com/photo-1591488320449-011701bb6704?w=400,4.8,987,Corsair,58,64GB DDR5
88,Secretlab Titan Chair,Gaming,549,699,21,https://images.unsplash.com/photo-1598550476439-6847785fce66?w=400,4.8,1432,Secretlab,34,Gaming chair
89,Asus ROG Swift Monitor,Gaming,1299,1599,19,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400,4.9,876,Asus,28,4K OLED display
90,Valve Steam Deck OLED,Gaming,649,799,19,https://images.unsplash.com/photo-1669483321946-7787c88b7538?w=400,4.8,1234,Valve,43,Portable gaming
91,Canon Pixma Pro,Printers,299,399,25,https://images.unsplash.com/photo-1525868107947-5e4cad17c5fe?w=400,4.6,654,Canon,45,Photo printer
92,Epson SureColor,Printers,499,699,29,https://images.unsplash.com/photo-1525868107947-5e4cad17c5fe?w=400,4.7,543,Epson,38,Professional printer
93,Brother HL-L2350DW,Printers,179,249,28,https://images.unsplash.com/photo-1525868107947-5e4cad17c5fe?w=400,4.5,876,Brother,92,Laser printer
94,HP OfficeJet Pro,Printers,249,349,29,https://images.unsplash.com/photo-1525868107947-5e4cad17c5fe?w=400,4.4,765,HP,76,All-in-one
95,Xerox VersaLink,Printers,799,999,20,https://images.unsplash.com/photo-1525868107947-5e4cad17c5fe?w=400,4.7,432,Xerox,29,Business printer
96,Amazon Echo Dot,Smart Home,49,69,29,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.7,5432,Amazon,234,Smart speaker
97,Google Home Mini,Smart Home,49,69,29,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.6,4321,Google,198,Voice assistant
98,Apple HomePod Mini,Smart Home,99,129,23,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.5,2145,Apple,87,Smart speaker
99,Philips Hue Lights,Smart Home,79,99,20,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.8,3456,Philips,156,Smart lighting
100,Ring Doorbell 4,Smart Home,99,129,23,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.7,2876,Ring,124,Smart doorbell
101,Wyze Cam Pan V3,Smart Home,59,79,25,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.6,1876,Wyze,167,Security camera
102,NZXT Hue2,Smart Home,59,79,25,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.5,987,NZXT,98,RGB lighting
103,Eve Energy Monitor,Smart Home,49,69,29,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.6,654,Eve,76,Power meter
104,Nanoleaf Essentials,Smart Home,199,249,20,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.7,2134,Nanoleaf,89,Light panels
105,Tesla Powerwall,Smart Home,12500,13500,7,https://images.unsplash.com/photo-1559654848-a4af7383d9d6?w=400,4.8,432,Tesla,12,Energy storage
